Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID,Calculated Sale,Diff,Year,Month,Quarter,Revenue Per Unit
Derek Zuniga,Imo,Headphones,77.0,92649.51,7134012.27,2025-03-18,Online,4459bd6e-c0f6-4229-b25d-42593c4b1eec,7134012.27,0.0,2025,3,2025Q1,92649.51
Lisa Jackson,Enugu,Camera,36.0,,,2024-04-16,,951c25d5-4d4c-4280-9462-52e7f43ba052,,,2024,4,2024Q2,
Carla Gray,Imo,Monitor,,269680.75,,2024-08-09,Wholesale,42f525b9-02ed-43ce-92a8-1713b90ed44b,,,2024,8,2024Q3,269680.75
Margaret Hawkins DDS,Niger,Headphones,33.0,261693.68,8635891.44,2024-01-01,Retail,3c7e5368-b159-4847-9c0b-9b10a757cb10,8635891.44,0.0,2024,1,2024Q1,261693.68
Patty Perez,Delta,Camera,,188963.51,,2023-10-13,Online,77242041-1e43-4bd2-aaf4-07f70fe76149,,,2023,10,2023Q4,188963.51
Ethan Adams,Ekiti,Laptop,4.0,179274.43,717097.72,2023-12-14,Online,afa28559-67c9-4204-a8e3-33b64e8adc4b,717097.72,0.0,2023,12,2023Q4,179274.43
Tommy Walter,Plateau,Monitor,,80026.37,,2025-03-17,Wholesale,e346f415-e526-4a2b-ac50-ace480a52e65,,,2025,3,2025Q1,80026.37
,Anambra,Monitor,,196849.5,,2023-10-26,Retail,b0b6dedf-4f9c-4027-8514-4d98b41c504f,,,2023,10,2023Q4,196849.5
Matthew Foster,Lagos,Charger,42.0,291631.03,12248503.26,2024-01-10,Direct,f0cd7f05-ea87-455e-a382-95d31e0ef546,12248503.260000002,-1.862645149230957e-09,2024,1,2024Q1,291631.03
Justin Baker,Niger,Monitor,7.0,68649.2,480544.4,2024-07-28,Direct,3889936a-9d58-47e8-9e17-5b664b87959f,480544.39999999997,5.820766091346741e-11,2024,7,2024Q3,68649.2
Zachary Hicks,Anambra,Camera,68.0,15880.87,1079899.16,2024-04-16,Wholesale,fd247c11-bf6b-4cdf-b479-7b6127372b52,1079899.1600000001,-2.3283064365386963e-10,2024,4,2024Q2,15880.87
Anthony Rodriguez,Oyo,Monitor,96.0,144394.41,13861863.36,2024-09-13,Online,b3b26337-6a74-4bb7-9fa5-e0aa9b11b530,13861863.36,0.0,2024,9,2024Q3,144394.41
Rebecca Henderson,Enugu,Monitor,,157507.58,,2024-09-27,Online,c1e1b94a-7888-4058-a9ad-0e9b8c9aa1e9,,,2024,9,2024Q3,157507.58
James Ferrell,Sokoto,Phone,,216494.26,,2024-04-22,Online,d35ac07a-aa02-47d0-8d4f-8b2b899ac252,,,2024,4,2024Q2,216494.26
Tricia Valencia,Rivers,Monitor,,232494.54,,2024-07-08,Wholesale,ae2ae341-3f59-44f2-8309-3b6e37e9d2e2,,,2024,7,2024Q3,232494.54
Nathan Maldonado,Kano,Keyboard,,114367.01,,2025-03-26,Direct,c9912032-df85-4777-9887-4bfec1369c65,,,2025,3,2025Q1,114367.01
Debra Davidson,Benue,Phone,65.0,246587.56,16028191.4,2024-09-11,Wholesale,87365a84-725e-434d-8687-9aa914f573d0,16028191.4,0.0,2024,9,2024Q3,246587.56
Jeffrey Chavez,Rivers,Charger,79.0,73037.87,5769991.73,2023-10-19,Wholesale,ead08c89-13fe-4a29-9c9d-eee0b42a0456,5769991.7299999995,9.313225746154785e-10,2023,10,2023Q4,73037.87
,Osun,Tablet,,171984.8,,2024-10-28,Online,d42a895e-0fcf-401f-9cb9-b73a906d5c8c,,,2024,10,2024Q4,171984.8
Cassandra Gaines,Katsina,Monitor,,210306.01,,2023-09-15,Online,2a1f1b61-265c-49d9-8962-8f6e929c93b3,,,2023,9,2023Q3,210306.01
Brittany Farmer,Abuja,Keyboard,,132591.05,,2024-03-07,Direct,711c7673-8535-4a69-9abf-984e53ff8461,,,2024,3,2024Q1,132591.05
Paula Moreno,Ekiti,Camera,,125924.7,,2024-05-15,Direct,b787ef8d-3495-411e-ae27-d4321dc1e7eb,,,2024,5,2024Q2,125924.7
Fred Smith,Imo,Tablet,,124181.55,,2025-01-17,,e61d9cde-1747-4387-bd23-d47995492a82,,,2025,1,2025Q1,124181.55
Sherry Decker,Rivers,Monitor,,61565.56,,2025-01-19,,0e3e25f2-cf06-41c7-b20b-274b82a7f586,,,2025,1,2025Q1,61565.56
Anthony Humphrey,Benue,Keyboard,10.0,150794.94,1507949.4,2024-07-16,,6a5943ce-8364-45e3-a1c7-1aa3741423b5,1507949.4,0.0,2024,7,2024Q3,150794.94
Angelica Tucker,Kano,Phone,,183637.68,,2024-08-22,Direct,8f0d5540-0ec7-4662-905c-7bdd74f0beae,,,2024,8,2024Q3,183637.68
Philip Cannon,Imo,Monitor,19.0,141745.84,2693170.96,2024-05-25,Online,4ee4334e-ce92-4136-ac3a-812f765e6cb5,2693170.96,0.0,2024,5,2024Q2,141745.84
Shane Henderson,Katsina,Monitor,,254588.91,,2024-05-24,Online,37c86152-beed-4af9-80c5-9f30d1031424,,,2024,5,2024Q2,254588.91
,Osun,Headphones,,218356.93,,2025-04-10,Wholesale,6c776e95-0b98-4ccd-92b2-102d940c3503,,,2025,4,2025Q2,218356.93
Joshua Blair,Plateau,Keyboard,,211879.68,,2024-09-29,,8a89b0f0-1052-41d3-b34c-6c7358330b30,,,2024,9,2024Q3,211879.68
Eric Carney,Enugu,Headphones,,155845.62,,2023-09-06,Online,e4eb8000-ef40-4162-8f6c-e9bffe7ee362,,,2023,9,2023Q3,155845.62
Jessica Holmes,Kano,Phone,,168485.59,,2023-10-16,,78d9a88a-ef0b-4a4f-bc73-7d9211ab3d11,,,2023,10,2023Q4,168485.59
Crystal Robinson,Delta,Phone,,143772.11,,2024-11-20,Wholesale,2e13418d-68ab-40ea-897e-c6d1081fc6dc,,,2024,11,2024Q4,143772.11
Mark Perez,Borno,Laptop,,113359.02,,2023-09-06,Direct,a43afb7a-c40d-4874-a2ab-7752c4db5a62,,,2023,9,2023Q3,113359.02
Shannon Jones,Kano,Monitor,,287027.3,,2024-06-24,Online,f6ba745b-a558-41e3-bab2-b77dfa740cc8,,,2024,6,2024Q2,287027.3
Timothy Duncan,Rivers,Keyboard,93.0,138169.23,12849738.39,2024-12-20,Direct,eac80da1-de9f-4f5b-b2d3-545861ea2f30,12849738.39,0.0,2024,12,2024Q4,138169.23
Richard Aguirre,Benue,Headphones,,160171.56,,2024-08-15,Direct,148b4376-602a-4e57-a0a3-99d4e821e716,,,2024,8,2024Q3,160171.56
Brent Jordan,Anambra,Phone,,164108.83,,2024-04-03,Online,dfe2c0a0-a96b-4c42-b6d2-2a7baec76a82,,,2024,4,2024Q2,164108.83
John Daniel,Ekiti,Tablet,,202922.64,,2023-10-18,,dc3bbdd8-a74e-42a9-a20b-9ea98a0f9508,,,2023,10,2023Q4,202922.64
,Osun,Monitor,,260362.49,,2025-05-22,Retail,fe2b34d8-2db0-428d-9e5e-be5459077299,,,2025,5,2025Q2,260362.49
Victoria Garcia,Kaduna,Charger,94.0,204383.39,19212038.66,2025-04-14,,2099d180-8762-4997-a49f-7d888989c5ab,19212038.66,0.0,2025,4,2025Q2,204383.39
Gerald Hensley,Osun,Camera,,241193.93,,2025-03-08,,d5b6de85-3902-49d9-ba8d-ae42ba54e920,,,2025,3,2025Q1,241193.93
Connor West,Osun,Keyboard,,79676.47,,2024-09-11,Retail,fa7e5d94-05d1-4b63-8194-f97f00e3a026,,,2024,9,2024Q3,79676.47
Donald Wright,Enugu,Charger,,145511.94,,2024-11-18,Direct,b8168aeb-ac6a-4c85-b687-6c624c61845e,,,2024,11,2024Q4,145511.94
Amber Kidd,Kano,Monitor,61.0,287222.55,17520575.55,2023-11-29,Retail,6118433b-882c-4d1e-ac93-a7918b60c511,17520575.55,0.0,2023,11,2023Q4,287222.55
Tracy House,Katsina,Tablet,12.0,84062.42,1008749.04,2025-02-26,Wholesale,75eb89c2-3f5c-42f3-bacb-43a3d2c7bffb,1008749.04,0.0,2025,2,2025Q1,84062.42
Carol Tucker,Kaduna,Monitor,,89900.5,,2023-10-19,Wholesale,3040413c-4690-4b15-a7b6-08dc589decb0,,,2023,10,2023Q4,89900.5
James Brown,Imo,Tablet,,282474.92,,2024-06-11,Wholesale,c3f725fe-b99b-4b5a-a00d-a49deffa2002,,,2024,6,2024Q2,282474.92
William Baker,Delta,Laptop,,294686.96,,2024-08-04,Direct,a902b73f-cf39-4648-883f-64c31ce362f8,,,2024,8,2024Q3,294686.96
Jordan Henderson,Kaduna,Keyboard,,231466.69,,2025-06-17,Retail,efad49e9-c41c-447e-9d6b-9b626b535a19,,,2025,6,2025Q2,231466.69
Whitney Peters,Ekiti,Phone,,211617.83,,2025-05-15,Online,3d9c4e64-0401-4ced-a398-36bbe23ddfaa,,,2025,5,2025Q2,211617.83
,Benue,Phone,,207226.85,,2023-08-23,Retail,980cb95c-19d4-4deb-9139-fa1234c1c3ea,,,2023,8,2023Q3,207226.85
Brittney Phillips,Anambra,Charger,,146956.42,,2025-04-16,Direct,ac09bdb7-9908-4e47-b249-f62c08987462,,,2025,4,2025Q2,146956.42
Amy Silva,Delta,Laptop,,144201.13,,2024-08-16,Direct,705fddf5-66fa-4ca0-8b53-1932bd9419aa,,,2024,8,2024Q3,144201.13
Sarah Moore,Sokoto,Phone,,168366.03,,2023-11-06,Wholesale,c11f6bf5-379e-4467-8a2d-b2e63bfda8a6,,,2023,11,2023Q4,168366.03
Angela Lopez,Abuja,Phone,93.0,280378.37,26075188.41,2024-03-03,Direct,23dfecd7-0e73-4dd7-86ac-1b04dd1d6cd1,26075188.41,0.0,2024,3,2024Q1,280378.37
Steve Sanchez,Abuja,Camera,,86692.92,,2023-11-13,Wholesale,3bf2025f-4a0d-4b73-be54-ee4b80ff5173,,,2023,11,2023Q4,86692.92
Lisa Barnes,Sokoto,Phone,,172256.3,,2024-03-17,Wholesale,937bf79b-bb44-4adc-aa98-fef8d0d75e37,,,2024,3,2024Q1,172256.3
Kelly Donovan,Benue,Headphones,65.0,163185.67,10607068.55,2025-07-06,Retail,c5c51060-9911-41e7-93d5-63ae51a3ac26,10607068.55,0.0,2025,7,2025Q3,163185.67
Mike Allen,Anambra,Camera,,268780.26,,2025-01-11,Direct,3ca5be29-5217-4bf3-9181-83d1ac2b0cfc,,,2025,1,2025Q1,268780.26
Michael Evans,Kano,Headphones,62.0,118662.47,7357073.14,2024-01-02,,fc568b53-24ac-4722-a052-77394d406f1b,7357073.14,0.0,2024,1,2024Q1,118662.47
,Plateau,Laptop,,103867.84,,2025-07-10,Retail,8e85140d-0f9a-4b70-8670-7cd64ceda164,,,2025,7,2025Q3,103867.84
Zachary Ferrell,Sokoto,Camera,,232032.77,,2024-08-17,Direct,bc36dc59-e134-4dfc-9777-7f10f2d2393f,,,2024,8,2024Q3,232032.77
Daniel Baker,Enugu,Keyboard,74.0,44369.6,3283350.4,2025-06-05,Online,adc29178-a041-4612-acd5-8759e95d2761,3283350.4,0.0,2025,6,2025Q2,44369.6
Shirley Suarez,Cross River,Tablet,,13098.91,,2024-02-16,Retail,0c00988a-7ee1-411a-8e4c-3ab56d5d0477,,,2024,2,2024Q1,13098.91
Christopher Bass,Benue,Charger,,286616.46,,2025-04-28,Wholesale,a4b05c89-f10b-4e9c-982b-91eef8e8035b,,,2025,4,2025Q2,286616.46
Lisa Archer,Ekiti,Headphones,,24169.32,,2023-09-10,Online,86433603-c92a-4d7c-a193-5990abdd1a8f,,,2023,9,2023Q3,24169.32
Aimee Montoya,Oyo,Laptop,,277240.88,,2024-01-21,Direct,6883ac6e-6a94-4054-b241-4482519894d8,,,2024,1,2024Q1,277240.88
Brian Rodriguez,Oyo,Tablet,,224327.88,,2024-11-15,,2f12b150-605f-41eb-8cc5-7e0d26332018,,,2024,11,2024Q4,224327.88
Denise Jacobs,Delta,Laptop,35.0,,,2024-09-10,Direct,3db0174e-7938-478a-89b5-aab0c12169db,,,2024,9,2024Q3,
Christina Walters,Imo,Phone,,64589.05,,2024-02-09,Wholesale,db87d29c-4cfd-4fc1-b9b0-2e2ad96e684f,,,2024,2,2024Q1,64589.05
John Whitehead,Imo,Tablet,,248471.54,,2023-10-16,Direct,7688d11f-ce47-48be-a4f4-3c62b523c0de,,,2023,10,2023Q4,248471.54
Anna Henderson,Anambra,Monitor,,81704.25,,2024-11-07,Wholesale,69a53b4f-8ff8-469d-8ec0-713dea2c7a51,,,2024,11,2024Q4,81704.25
,Plateau,Monitor,1.0,168824.4,168824.4,2024-03-02,Direct,87ad8b26-8eaa-4841-aaa0-426df7c0d5f7,168824.4,0.0,2024,3,2024Q1,168824.4
Aaron Wise,Niger,Camera,,81850.63,,2024-10-30,,41476506-3e2b-49c9-a36f-6e5c2253e706,,,2024,10,2024Q4,81850.63
Deborah Figueroa,Plateau,Laptop,,33213.36,,2024-08-28,Retail,143df5b3-a58e-43dd-948c-1d84340de049,,,2024,8,2024Q3,33213.36
Jessica Smith,Benue,Camera,9.0,222396.85,2001571.65,2023-09-21,Wholesale,5efeef4f-d8dd-4bc0-b325-3aa3ec170298,2001571.6500000001,-2.3283064365386963e-10,2023,9,2023Q3,222396.85
Stephen Mckee,Osun,Laptop,,72164.98,,2024-08-04,Wholesale,d453f867-b97e-4224-891f-691217abb863,,,2024,8,2024Q3,72164.98
Sandra Aguilar,Delta,Tablet,4.0,15704.25,62817.0,2024-11-19,,608e149e-44b9-4602-8d31-812e30c36756,62817.0,0.0,2024,11,2024Q4,15704.25
Rebecca Valencia,Bauchi,Phone,,271602.67,,2024-10-12,Direct,cdfd9531-302b-4831-92a1-fe7ddfa59722,,,2024,10,2024Q4,271602.67
Richard Henson,Kano,Monitor,44.0,70234.55,3090320.2,2023-11-07,Retail,abe42e7d-b96c-4163-966b-e275c2fe8954,3090320.2,0.0,2023,11,2023Q4,70234.55
Marc Moore,Abuja,Charger,,30509.29,,2023-11-20,Direct,3579c143-7ab9-4428-b78e-65108f10d33e,,,2023,11,2023Q4,30509.29
Sharon Cherry,Rivers,Laptop,,99422.94,,2024-12-03,Wholesale,4d9dbaeb-553d-4625-a833-4da5de95d695,,,2024,12,2024Q4,99422.94
Sierra Johnson,Oyo,Charger,,141984.97,,2024-11-07,Wholesale,363908bf-03ec-48ff-a8b3-d763f4ff3f3a,,,2024,11,2024Q4,141984.97
,Kaduna,Phone,77.0,204517.0,15747809.0,2025-01-20,Direct,bdd151b0-f64a-46ec-b0a5-648eefe9b3d0,15747809.0,0.0,2025,1,2025Q1,204517.0
Evelyn Galvan,Niger,Monitor,7.0,41671.38,291699.66,2025-06-10,,c11bd1c4-ffe3-4366-bf33-7a151e086f20,291699.66,0.0,2025,6,2025Q2,41671.38
Sharon Cochran,Katsina,Keyboard,,289373.37,,2024-10-23,Retail,b2149062-3e1a-463e-aa18-d32c7a9a8ef5,,,2024,10,2024Q4,289373.37
Shannon Walker,Benue,Monitor,,293384.26,,2025-04-25,Direct,52555c75-8d55-419e-bd44-cb2cea45ba41,,,2025,4,2025Q2,293384.26
Julia Torres,Benue,Charger,,47803.35,,2025-06-27,Wholesale,775c30b5-6173-4c48-8876-9153c68813fe,,,2025,6,2025Q2,47803.35
Crystal Johnson,Katsina,Keyboard,,196041.39,,2024-09-20,Direct,4ef4c34d-5bf8-4f3c-a612-9a1c889d4b76,,,2024,9,2024Q3,196041.39
Garrett Lin,Ekiti,Headphones,,264253.91,,2023-08-11,Wholesale,e1fff6c0-8347-41da-9c11-ab6d42f5b3f5,,,2023,8,2023Q3,264253.91
Diana May,Bauchi,Monitor,,142972.04,,2025-04-11,Online,cd8563ca-193e-438d-b74c-0afa7f4d908c,,,2025,4,2025Q2,142972.04
Ashley Waller,Imo,Tablet,,226895.36,,2023-08-02,Retail,c2fa1da8-7830-4631-b8f0-188efb37afae,,,2023,8,2023Q3,226895.36
Victor Baker,Lagos,Keyboard,56.0,86529.89,4845673.84,2023-09-12,,340029c3-ea11-405b-91fa-cefad6f89f7a,4845673.84,0.0,2023,9,2023Q3,86529.89
Jeffrey Chandler,Rivers,Keyboard,,85981.89,,2023-08-15,,0bb401e7-69f7-43f1-901b-a8515ee68495,,,2023,8,2023Q3,85981.89
Larry Dixon,Anambra,Tablet,,18219.19,,2025-02-28,,8da5d39b-42c2-4797-8426-fcc9255b30e2,,,2025,2,2025Q1,18219.19
Kenneth Scott,Sokoto,Charger,,230733.14,,2024-09-30,Online,b852b3cd-9442-45e6-9583-1d58ef4c5119,,,2024,9,2024Q3,230733.14
April Frost,Rivers,Camera,6.0,195863.47,1175180.82,2024-02-01,Direct,32399ffb-2704-4f25-8b91-b8cb6ae66582,1175180.82,0.0,2024,2,2024Q1,195863.47
Michelle Harmon,Borno,Laptop,,70049.95,,2024-11-27,Retail,91ddb9bf-613d-4de9-bae2-802354720d2d,,,2024,11,2024Q4,70049.95
Helen Jones,Niger,Tablet,8.0,221736.61,1773892.88,2023-12-21,Direct,8cf6e8b8-7fd2-48c3-bee8-2983d5574241,1773892.88,0.0,2023,12,2023Q4,221736.61
Erin Edwards,Kaduna,Keyboard,,255174.76,,2025-02-25,Wholesale,566a9ce7-af52-4b94-b186-e47aa7946320,,,2025,2,2025Q1,255174.76
Michelle Evans,Ekiti,Camera,28.0,11670.82,326782.96,2024-09-27,Online,7d1645a0-d253-4966-836b-9a0a41e02a89,326782.95999999996,5.820766091346741e-11,2024,9,2024Q3,11670.82
Jason Powell,Lagos,Keyboard,,276480.53,,2024-05-29,Direct,bd5609c4-a446-4663-b93b-17fbf76d15fd,,,2024,5,2024Q2,276480.53
Cameron Fisher,Anambra,Monitor,,125656.55,,2024-11-02,Direct,bb96f602-2b11-4c36-b5f8-e3a87d97ac0f,,,2024,11,2024Q4,125656.55
Elizabeth Kelley,Kaduna,Phone,,251362.66,,2023-08-03,Wholesale,23d4526b-2b54-4f7a-9a28-37b2cb8383f2,,,2023,8,2023Q3,251362.66
Dustin Jordan,Bauchi,Keyboard,56.0,280209.82,15691749.92,2024-07-31,Retail,2f1dc121-7d02-4c6d-8bea-75c1b86677aa,15691749.92,0.0,2024,7,2024Q3,280209.82
,Rivers,Charger,,11383.78,,2025-05-31,Wholesale,fd85d7fa-8ac9-4b01-a3ad-64d4eab9eb02,,,2025,5,2025Q2,11383.78
Mary Marshall,Borno,Headphones,,250942.86,,2024-11-09,Retail,862138ad-0f09-405c-b50d-7a37a44d9fec,,,2024,11,2024Q4,250942.86
Daniel Kennedy,Bauchi,Keyboard,,236494.21,,2024-09-06,Direct,13075157-d8c1-48e7-96cd-315508a8ac7f,,,2024,9,2024Q3,236494.21
Rebecca Jackson,Katsina,Camera,,56300.33,,2024-02-20,Direct,0c6b7074-ab10-4c9b-9168-2e09f1f7d904,,,2024,2,2024Q1,56300.33
Jose Schultz,Enugu,Charger,46.0,224826.46,10342017.16,2024-11-20,Online,2332a50e-6992-496e-81a2-5ed1c3abb5f1,10342017.16,0.0,2024,11,2024Q4,224826.46
Robert Potter,Oyo,Tablet,,261751.06,,2024-03-01,Direct,116658ce-3b3f-4800-a175-a9c3d7b102a9,,,2024,3,2024Q1,261751.06
Courtney Gonzalez,Osun,Charger,,87195.36,,2024-07-20,,37fe032c-0257-4851-a6a9-e100b509109b,,,2024,7,2024Q3,87195.36
Angel Perry,Imo,Tablet,,11721.12,,2025-03-27,,ef145064-aab0-4015-a342-2e509e2a7324,,,2025,3,2025Q1,11721.12
Cheyenne Horton,Bauchi,Phone,,89868.47,,2025-03-29,Direct,a8c6dbc0-7bb3-447b-a9aa-144b9dd43675,,,2025,3,2025Q1,89868.47
David Douglas Jr.,Lagos,Camera,,181033.5,,2024-12-24,,883f13c6-01b1-48e9-8406-ff447ce40679,,,2024,12,2024Q4,181033.5
Christopher Rubio,Sokoto,Camera,,100845.11,,2024-02-27,Direct,04482a22-0308-4a5e-a94d-7b008d388327,,,2024,2,2024Q1,100845.11
,Cross River,Monitor,,136577.55,,2024-06-27,,892621df-4655-48b7-b8e1-9f568787ea21,,,2024,6,2024Q2,136577.55
Amber Wright,Lagos,Keyboard,,192573.07,,2023-09-05,Online,80913ac1-0463-450e-8964-6b96fa3c1628,,,2023,9,2023Q3,192573.07
Joyce Solis,Rivers,Camera,,157533.4,,2024-12-26,Wholesale,6e3a0ba8-ac8d-4c7d-b2a6-e468d02b1243,,,2024,12,2024Q4,157533.4
Victoria Larson,Osun,Keyboard,,266833.36,,2023-08-26,,2de46e91-e8e6-4840-b090-f5a0ce610199,,,2023,8,2023Q3,266833.36
Stephanie Salazar,Borno,Keyboard,47.0,,,2023-11-10,,863e1f2a-18a8-46ef-ab05-3fc41b656dab,,,2023,11,2023Q4,
Kathy Rivas,Delta,Keyboard,56.0,40692.88,2278801.28,2024-06-16,Online,9ea9f508-3122-4592-bdb0-2235261e2555,2278801.28,0.0,2024,6,2024Q2,40692.88
Stephanie Manning,Abuja,Phone,,151511.7,,2024-05-28,Online,5abca6e5-d0b1-43eb-809e-7a8086c5d1d6,,,2024,5,2024Q2,151511.7
David Wright,Delta,Laptop,,82214.71,,2024-07-21,Retail,143a9aff-659b-4105-8b80-f288446f64dd,,,2024,7,2024Q3,82214.71
Pamela Boyd,Plateau,Tablet,68.0,242739.76,16506303.68,2024-07-05,Wholesale,7580e050-67f1-498c-b594-8a545f804eeb,16506303.68,0.0,2024,7,2024Q3,242739.76
Denise Jones,Kano,Camera,,99539.89,,2023-12-16,Retail,b27e1442-fd7f-4973-be42-df5b90a3fbbf,,,2023,12,2023Q4,99539.89
Devon Flores,Kano,Monitor,,219470.21,,2024-03-31,,d3fbe043-af1d-4a1a-8ccb-235539d1c7ff,,,2024,3,2024Q1,219470.21
Brenda Hall,Cross River,Camera,,194661.46,,2024-10-24,Online,fdde64af-a75b-495a-94a3-4f7fd90dd19b,,,2024,10,2024Q4,194661.46
,Imo,Charger,,4718.22,,2024-03-09,Direct,081c79d4-c274-47eb-a65f-7b8adbb44021,,,2024,3,2024Q1,4718.22
Joshua Perry,Oyo,Keyboard,82.0,,,2025-05-10,Wholesale,608e2f5c-6117-4270-a7c0-518b17efa621,,,2025,5,2025Q2,
Jason Stein,Oyo,Charger,,101465.1,,2025-01-18,Direct,a301ec03-0e5d-4c6a-b9db-78628d7dd772,,,2025,1,2025Q1,101465.1
Melissa Gates,Cross River,Monitor,,88859.77,,2024-03-15,Online,152aeaec-2bdf-4b41-b3ed-a8f1026b5383,,,2024,3,2024Q1,88859.77
Jamie Smith,Imo,Charger,,202483.14,,2025-01-31,Online,a518a418-6f14-43f6-9867-888b7ff6b824,,,2025,1,2025Q1,202483.14
Paul Castaneda,Kaduna,Charger,83.0,58351.81,4843200.23,2025-05-09,Online,fa323f69-90db-4ad6-94ce-26bec8cce2c2,4843200.2299999995,9.313225746154785e-10,2025,5,2025Q2,58351.81
Jennifer Adkins,Anambra,Keyboard,31.0,183480.87,5687906.97,2024-04-04,Wholesale,e5110961-1869-4217-b94d-8fcbdba3496f,5687906.97,0.0,2024,4,2024Q2,183480.87
Lindsey Walker,Bauchi,Tablet,,191798.38,,2024-05-15,Retail,3ad1fa33-0ae4-4c11-ab4d-8f42873570a2,,,2024,5,2024Q2,191798.38
Jeffrey Johnson,Katsina,Tablet,26.0,121944.37,3170553.62,2023-10-20,,b139c476-de3c-488b-a6b9-d31a361f6d90,3170553.62,0.0,2023,10,2023Q4,121944.37
Michael Powell,Niger,Tablet,78.0,128597.12,10030575.36,2025-02-20,,45667c48-79ba-430a-9118-c400e336c243,10030575.36,0.0,2025,2,2025Q1,128597.12
John Anderson,Enugu,Camera,,98714.03,,2024-04-23,,af36b8cc-1308-4974-ac95-b3ac0beb7c34,,,2024,4,2024Q2,98714.03
Alyssa Long,Imo,Laptop,10.0,,,2024-08-13,,8b040f53-e639-49d4-87c6-8688ecf32053,,,2024,8,2024Q3,
Alyssa Day,Enugu,Camera,,120549.56,,2024-09-19,,2dea2d2d-086c-405f-a879-d8f890422eb7,,,2024,9,2024Q3,120549.56
Joel Williams,Benue,Laptop,,294514.72,,2024-03-14,Direct,04022b3c-5082-41a5-99b5-9f84edc3a1c3,,,2024,3,2024Q1,294514.72
Daniel Murphy,Osun,Headphones,,143497.5,,2024-01-14,Wholesale,24e9bcfd-9647-4f9f-b508-507af622d842,,,2024,1,2024Q1,143497.5
Jamie Walton,Ekiti,Camera,,280779.7,,2024-07-07,Direct,d226a8b3-b674-410d-9218-c9d6c093bfb0,,,2024,7,2024Q3,280779.7
Darlene Miller,Bauchi,Camera,,2545.62,,2023-10-14,Direct,4c9d6907-13b2-4cec-adca-bf9465f6ba53,,,2023,10,2023Q4,2545.62
